138,COWL,Cowell Development Tbk.,4.871.214.021,Pemantauan Khusus
139,CPIN,Charoen Pokphand Indonesia Tbk,16.398.000.000,Utama
140,CPRO,Central Proteina Prima Tbk.,59.572.382.787,Pengembangan
141,CSAP,Catur Sentosa Adiprana Tbk.,5.683.175.151,Pengembangan
142,CTBN,Citra Tubindo Tbk.,800.371.500,Pemantauan Khusus
143,CTRA,Ciputra Development Tbk.,18.535.695.255,Utama
144,CTTH,Citatah Tbk.,1.230.839.821,Pemantauan Khusus
145,DART,Duta Anggada Realty Tbk.,3.141.390.962,Pengembangan
146,DEFI,Danasupra Erapacific Tbk.,687.266.666,Pemantauan Khusus
147,DEWA,Darma Henwa Tbk,21.853.733.792,Utama
148,DGIK,Nusa Konstruksi Enjiniring Tbk,5.541.165.000,Pengembangan
149,DILD,Intiland Development Tbk.,10.365.854.185,Utama
150,DKFT,Central Omega Resources Tbk.,5.638.246.600,Pengembangan
151,DLTA,Delta Djakarta Tbk.,800.659.050,Utama
152,DMAS,Puradelta Lestari Tbk.,48.198.111.100,Utama
153,DNAR,Bank Oke Indonesia Tbk.,16.867.292.274,Pengembangan
154,DNET,Indoritel Makmur Internasional,14.184.000.000,Pengembangan
155,DOID,Delta Dunia Makmur Tbk.,7.651.007.132,Utama
156,DPNS,Duta Pertiwi Nusantara Tbk.,331.129.952,Pengembangan
157,DSFI,Dharma Samudera Fishing Indust,1.857.135.500,Pengembangan
158,DSNG,Dharma Satya Nusantara Tbk.,10.599.842.400,Utama
159,DSSA,Dian Swastatika Sentosa Tbk,7.705.523.200,Utama
160,DUTI,Duta Pertiwi Tbk,1.850.000.000,Pemantauan Khusus
161,DVLA,Darya-Varia Laboratoria Tbk.,1.120.000.000,Pengembangan
162,DYAN,Dyandra Media International Tb,4.272.964.279,Pengembangan
163,ECII,Electronic City Indonesia Tbk.,1.334.333.000,Pengembangan
164,EKAD,Ekadharma International Tbk.,3.493.875.000,Pengembangan
165,ELSA,Elnusa Tbk.,7.298.500.000,Utama
166,ELTY,Bakrieland Development Tbk.,43.521.913.019,Pemantauan Khusus
167,EMDE,Megapolitan Developments Tbk.,3.350.000.000,Pengembangan
168,EMTK,Elang Mahkota Teknologi Tbk.,61.316.751.483,Utama
169,ENRG,Energi Mega Persada Tbk.,24.821.230.250,Utama
170,EPMT,Enseval Putera Megatrading Tbk,2.708.640.000,Pengembangan
171,ERAA,Erajaya Swasembada Tbk.,15.950.000.000,Utama
172,ERTX,Eratex Djaja Tbk.,1.286.539.792,Pengembangan
173,ESSA,ESSA Industries Indonesia Tbk.,17.226.975.700,Utama
174,ESTI,Ever Shine Tex Tbk.,2.015.208.720,Pemantauan Khusus
175,ETWA,Eterindo Wahanatama Tbk,4.668.671.400,Pemantauan Khusus
176,EXCL,XL Axiata Tbk.,13.128.430.665,Utama
177,FAST,Fast Food Indonesia Tbk.,3.990.277.158,Pengembangan
178,FASW,Fajar Surya Wisesa Tbk.,2.477.888.787,Pemantauan Khusus
179,FISH,FKS Multi Agro Tbk.,480.000.000,Pemantauan Khusus
180,FMII,Fortune Mate Indonesia Tbk,6.400.000.000,Pengembangan
181,FORU,Fortune Indonesia Tbk,465.224.000,Pengembangan
182,FPNI,Lotte Chemical Titan Tbk.,5.566.414.000,Pengembangan
183,FREN,Smartfren Telecom Tbk.,476.703.804.464,Pemantauan Khusus
184,GAMA,Aksara Global Development Tbk.,10.011.027.656,Pemantauan Khusus
185,GDST,Gunawan Dianjaya Steel Tbk.,9.242.500.000,Pengembangan
186,GDYR,Goodyear Indonesia Tbk.,410.000.000,Pengembangan
187,GEMA,Gema Grahasarana Tbk.,1.600.000.000,Pengembangan
188,GEMS,Golden Energy Mines Tbk.,5.882.353.000,Utama
189,GGRM,Gudang Garam Tbk.,1.924.088.000,Utama
190,GIAA,Garuda Indonesia (Persero) Tbk,91.480.783.837,Pemantauan Khusus
191,GJTL,Gajah Tunggal Tbk.,3.484.800.000,Utama
192,GLOB,Globe Kita Terang Tbk.,1.111.112.000,Pemantauan Khusus
193,GMTD,Gowa Makassar Tourism Developm,1.015.380.000,Pengembangan
194,GOLD,Visi Telekomunikasi Infrastruk,1.277.276.000,Pengembangan
195,GOLL,Golden Plantation Tbk.,3.665.000.759,Pemantauan Khusus
196,GPRA,Perdana Gapuraprima Tbk.,4.276.655.336,Pengembangan
197,GSMF,Equity Development Investment ,14.230.399.705,Pengembangan
198,GTBO,Garda Tujuh Buana Tbk,2.500.000.000,Pengembangan
199,GWSA,Greenwood Sejahtera Tbk.,7.800.760.000,Utama
200,GZCO,Gozco Plantations Tbk.,6.000.000.000,Pengembangan
201,HADE,Himalaya Energi Perkasa Tbk.,2.120.000.000,Pemantauan Khusus
202,HDFA,Radana Bhaskara Finance Tbk.,6.542.445.783,Pengembangan
203,HDTX,Panasia Indo Resources Tbk.,3.601.462.800,Pemantauan Khusus
204,HERO,Hero Supermarket Tbk.,4.183.634.000,Pengembangan
205,HEXA,Hexindo Adiperkasa Tbk.,840.000.000,Utama
206,HITS,Humpuss Intermoda Transportasi,7.101.084.801,Utama
207,HMSP,H.M. Sampoerna Tbk.,116.318.076.900,Pengembangan
208,HOME,Hotel Mandarine Regency Tbk.,22.212.194.782,Pemantauan Khusus
209,HOTL,Saraswati Griya Lestari Tbk.,3.550.001.452,Pemantauan Khusus
210,HRUM,Harum Energy Tbk.,13.518.100.000,Utama
211,IATA,MNC Energy Investments Tbk.,25.238.245.486,Pemantauan Khusus
212,IBFN,Intan Baru Prana Tbk.,1.517.332.349,Pemantauan Khusus
213,IBST,Inti Bangun Sejahtera Tbk.,1.350.904.927,Pemantauan Khusus
214,ICBP,Indofood CBP Sukses Makmur Tbk,11.661.908.000,Utama
215,ICON,Island Concepts Indonesia Tbk.,1.089.750.000,Pemantauan Khusus
216,IGAR,Champion Pacific Indonesia Tbk,972.204.500,Pengembangan
217,IIKP,Inti Agri Resources Tbk,33.600.000.000,Pemantauan Khusus
218,IKAI,Intikeramik Alamasri Industri ,13.305.799.387,Pemantauan Khusus
219,IKBI,Sumi Indo Kabel Tbk.,1.224.000.000,Pengembangan
220,IMAS,Indomobil Sukses Internasional,3.994.291.039,Utama
221,IMJS,Indomobil Multi Jasa Tbk.,8.654.325.000,Pengembangan
222,IMPC,Impack Pratama Industri Tbk.,54.268.500.000,Utama
223,INAF,Indofarma Tbk.,3.099.267.500,Pemantauan Khusus
224,INAI,Indal Aluminium Industry Tbk.,633.600.000,Pengembangan
225,INCI,Intanwijaya Internasional Tbk,207.656.617,Pengembangan
226,INCO,Vale Indonesia Tbk.,10.539.784.534,Utama
227,INDF,Indofood Sukses Makmur Tbk.,8.780.426.500,Utama
228,INDR,Indo-Rama Synthetics Tbk.,654.351.707,Pengembangan
229,INDS,Indospring Tbk.,6.562.497.100,Pengembangan
230,INDX,Tanah Laut Tbk,437.913.588,Pengembangan
231,INDY,Indika Energy Tbk.,5.210.192.000,Utama
232,INKP,Indah Kiat Pulp & Paper Tbk.,5.470.982.941,Utama
233,INPC,Bank Artha Graha Internasional,20.021.178.779,Utama
234,INPP,Indonesian Paradise Property T,11.181.971.732,Pengembangan
